CSD Code,Census subdivision (CSD) name,2011 Income Score,2011 Education Score,2011 Housing Score,2011 Labour Force Activity Score,2011 CWB Score,2011 Global Non-Response,Province,Type of Collectivity,2011 NHS Population
2414080,Saint-Onésime-d'Ixworth,71,39,94,83,72,27%,Quebec,Non-Aboriginal,560
2414085,La Pocatière,84,60,98,86,82,33%,Quebec,Non-Aboriginal,3970
2414090,Sainte-Anne-de-la-Pocatière,83,52,94,86,79,34%,Quebec,Non-Aboriginal,1680
2415005,Saint-Irénée,80,53,98,79,78,16%,Quebec,Non-Aboriginal,665
2415013,La Malbaie,82,53,96,82,78,20%,Quebec,Non-Aboriginal,8670
2415025,Notre-Dame-des-Monts,81,46,99,82,77,28%,Quebec,Non-Aboriginal,825
2415030,Saint-Aimé-des-Lacs,82,52,98,85,80,33%,Quebec,Non-Aboriginal,1115
2415035,Clermont,83,54,97,84,79,22%,Quebec,Non-Aboriginal,3035
2415058,Saint-Siméon,83,46,95,76,75,22%,Quebec,Non-Aboriginal,1220
2416005,Petite-Rivière-Saint-François,86,55,98,84,81,28%,Quebec,Non-Aboriginal,745
2416013,Baie-Saint-Paul,87,56,96,85,81,30%,Quebec,Non-Aboriginal,7005
2416023,L'Isle-aux-Coudres,83,50,97,79,77,35%,Quebec,Non-Aboriginal,1260
2416048,Les Éboulements,81,54,97,83,79,30%,Quebec,Non-Aboriginal,1295
2416050,Saint-Hilarion,79,39,97,85,75,34%,Quebec,Non-Aboriginal,1170
2416055,Saint-Urbain,79,47,94,84,76,25%,Quebec,Non-Aboriginal,1410
2417005,Saint-Omer,76,28,98,83,71,24%,Quebec,Non-Aboriginal,310
2417010,Saint-Pamphile,81,41,97,87,77,33%,Quebec,Non-Aboriginal,2625
2417015,Saint-Adalbert,78,44,91,81,74,40%,Quebec,Non-Aboriginal,530
2417020,Saint-Marcel,72,34,97,89,73,42%,Quebec,Non-Aboriginal,430
2417025,Sainte-Félicité,77,30,97,80,71,43%,Quebec,Non-Aboriginal,405
2417030,Sainte-Perpétue,77,44,97,83,75,35%,Quebec,Non-Aboriginal,1735
2417035,Tourville,74,31,87,75,67,39%,Quebec,Non-Aboriginal,615
2417040,Saint-Damase-de-L'Islet,80,51,88,88,77,37%,Quebec,Non-Aboriginal,615
2417045,Saint-Cyrille-de-Lessard,78,43,97,86,76,30%,Quebec,Non-Aboriginal,750
2417055,Saint-Aubert,79,41,93,84,74,32%,Quebec,Non-Aboriginal,1400
2417060,Sainte-Louise,77,44,98,75,73,17%,Quebec,Non-Aboriginal,680
2417065,Saint-Roch-des-Aulnaies,84,56,98,83,80,13%,Quebec,Non-Aboriginal,970
2417070,Saint-Jean-Port-Joli,84,57,97,85,81,30%,Quebec,Non-Aboriginal,3180
2417078,L'Islet,81,53,96,87,79,30%,Quebec,Non-Aboriginal,3810
2418005,Saint-Just-de-Bretenières,68,31,96,72,67,32%,Quebec,Non-Aboriginal,650
2418010,Lac-Frontière,,,,,73,23%,Quebec,Non-Aboriginal,200
2418015,Saint-Fabien-de-Panet,74,30,91,79,69,38%,Quebec,Non-Aboriginal,920
2418020,Sainte-Lucie-de-Beauregard,72,40,93,87,73,30%,Quebec,Non-Aboriginal,300
2418025,Sainte-Apolline-de-Patton,73,32,94,82,70,33%,Quebec,Non-Aboriginal,540
2418030,Saint-Paul-de-Montminy,76,46,92,76,73,24%,Quebec,Non-Aboriginal,825
2418035,Sainte-Euphémie-sur-Rivière-du-Sud,68,50,85,72,68,44%,Quebec,Non-Aboriginal,380
2418040,Notre-Dame-du-Rosaire,,,,,68,38%,Quebec,Non-Aboriginal,385
2418045,Cap-Saint-Ignace,82,54,98,87,80,36%,Quebec,Non-Aboriginal,2960
2418050,Montmagny,82,49,97,85,78,19%,Quebec,Non-Aboriginal,11070
2418055,Saint-Pierre-de-la-Rivière-du-Sud,82,51,93,88,78,26%,Quebec,Non-Aboriginal,920
2418060,Saint-François-de-la-Rivière-du-Sud,77,47,93,89,77,31%,Quebec,Non-Aboriginal,1585
2418065,Berthier-sur-Mer,88,58,98,84,82,27%,Quebec,Non-Aboriginal,1385
2418070,Saint-Antoine-de-l'Isle-aux-Grues,,,,,78,31%,Quebec,Non-Aboriginal,145
2419005,Saint-Philémon,73,39,97,80,72,44%,Quebec,Non-Aboriginal,715
2419010,Notre-Dame-Auxiliatrice-de-Buckland,81,49,97,89,79,44%,Quebec,Non-Aboriginal,780
2419015,Saint-Nazaire-de-Dorchester,73,35,93,83,71,32%,Quebec,Non-Aboriginal,295
2419020,Saint-Léon-de-Standon,78,39,95,82,73,25%,Quebec,Non-Aboriginal,1190
2419025,Saint-Malachie,82,57,96,89,81,35%,Quebec,Non-Aboriginal,1435
2419030,Saint-Damien-de-Buckland,82,47,99,85,78,46%,Quebec,Non-Aboriginal,1730
2419037,Armagh,78,50,92,86,76,33%,Quebec,Non-Aboriginal,1440
2419045,Saint-Nérée,81,45,94,84,76,34%,Quebec,Non-Aboriginal,725
2419050,Saint-Lazare-de-Bellechasse,80,46,95,91,78,44%,Quebec,Non-Aboriginal,1190
2419055,Sainte-Claire,86,52,96,92,82,38%,Quebec,Non-Aboriginal,3200
2419062,Saint-Anselme,84,54,97,91,82,32%,Quebec,Non-Aboriginal,3315
2419068,Saint-Henri,84,58,98,93,83,19%,Quebec,Non-Aboriginal,4985
2419070,Honfleur,81,53,97,96,82,45%,Quebec,Non-Aboriginal,760
2419075,Saint-Gervais,78,49,94,89,78,40%,Quebec,Non-Aboriginal,2005
2419082,Saint-Raphaël,77,53,93,87,78,41%,Quebec,Non-Aboriginal,2375
2419090,La Durantaye,81,53,96,87,79,41%,Quebec,Non-Aboriginal,720
2419097,Saint-Charles-de-Bellechasse,84,59,98,89,82,38%,Quebec,Non-Aboriginal,2230
2419105,Beaumont,90,65,97,91,86,28%,Quebec,Non-Aboriginal,2335
2419110,Saint-Michel-de-Bellechasse,89,59,94,89,83,33%,Quebec,Non-Aboriginal,1800
2419117,Saint-Vallier,87,60,94,87,82,39%,Quebec,Non-Aboriginal,985
2420010,Sainte-Famille,86,66,90,87,82,29%,Quebec,Non-Aboriginal,810
2420020,Saint-Laurent-de-l'Île-d'Orléans,97,73,97,83,87,47%,Quebec,Non-Aboriginal,1560
2420025,Saint-Pierre-de-l'Île-d'Orléans,85,53,98,88,81,45%,Quebec,Non-Aboriginal,1725
2420030,Sainte-Pétronille,100,77,97,88,91,39%,Quebec,Non-Aboriginal,1015
2421005,Saint-Tite-des-Caps,79,48,91,81,75,44%,Quebec,Non-Aboriginal,1500
2421010,Saint-Ferréol-les-Neiges,91,64,98,88,85,42%,Quebec,Non-Aboriginal,2965
2421020,Saint-Joachim,83,57,100,85,81,28%,Quebec,Non-Aboriginal,1450
2421025,Beaupré,89,63,94,86,83,35%,Quebec,Non-Aboriginal,3130
2421030,Sainte-Anne-de-Beaupré,80,55,91,81,77,35%,Quebec,Non-Aboriginal,2790
2421035,Château-Richer,87,60,95,89,82,46%,Quebec,Non-Aboriginal,3765
2421040,L'Ange-Gardien,90,63,95,90,84,25%,Quebec,Non-Aboriginal,3580
2421045,Boischatel,93,71,98,91,88,25%,Quebec,Non-Aboriginal,6320
2422005,Sainte-Catherine-de-la-Jacques-Cartier,86,62,98,91,84,32%,Quebec,Non-Aboriginal,6325
2422010,Fossambault-sur-le-Lac,93,69,91,86,85,36%,Quebec,Non-Aboriginal,1610
2422015,Lac-Saint-Joseph,,,,,90,0%,Quebec,Non-Aboriginal,215
2422020,Shannon,88,62,96,92,85,44%,Quebec,Non-Aboriginal,5030
2422025,Saint-Gabriel-de-Valcartier,86,64,97,89,84,35%,Quebec,Non-Aboriginal,2765
2422030,Lac-Delage,99,80,97,94,92,24%,Quebec,Non-Aboriginal,595
2422035,Stoneham-et-Tewkesbury,91,66,97,91,86,46%,Quebec,Non-Aboriginal,7080
2422040,Lac-Beauport,99,78,96,93,92,36%,Quebec,Non-Aboriginal,7275
2422045,Sainte-Brigitte-de-Laval,88,65,96,93,85,29%,Quebec,Non-Aboriginal,5685
2423027,Québec,90,66,97,88,85,22%,Quebec,Non-Aboriginal,502595
2423057,L'Ancienne-Lorette,91,67,97,89,86,17%,Quebec,Non-Aboriginal,16510
2423072,Saint-Augustin-de-Desmaures,98,76,98,91,91,16%,Quebec,Non-Aboriginal,17590
2425213,Lévis,90,66,97,90,86,16%,Quebec,Non-Aboriginal,135835
2426005,Frampton,80,48,94,85,77,39%,Quebec,Non-Aboriginal,1265
2426010,Saints-Anges,81,59,98,90,82,50%,Quebec,Non-Aboriginal,1160
2426015,Vallée-Jonction,83,52,96,90,80,38%,Quebec,Non-Aboriginal,1955
2426022,Saint-Elzéar,83,56,93,93,81,46%,Quebec,Non-Aboriginal,2135
2426030,Sainte-Marie,84,56,97,89,81,22%,Quebec,Non-Aboriginal,12640
2426035,Sainte-Marguerite,80,51,95,94,80,26%,Quebec,Non-Aboriginal,1070
2426040,Sainte-Hénédine,84,58,94,93,82,25%,Quebec,Non-Aboriginal,1155
2426048,Scott,85,54,98,92,82,41%,Quebec,Non-Aboriginal,2045
2426055,Saint-Bernard,84,53,95,93,81,41%,Quebec,Non-Aboriginal,2060
2426063,Saint-Isidore,83,57,95,89,81,37%,Quebec,Non-Aboriginal,2900
2426070,Saint-Lambert-de-Lauzon,86,63,96,92,84,30%,Quebec,Non-Aboriginal,6150
2427008,Saint-Victor,81,47,94,89,78,31%,Quebec,Non-Aboriginal,2355
2427015,Saint-Alfred,78,47,92,90,77,42%,Quebec,Non-Aboriginal,485
2427028,Beauceville,81,51,97,89,79,28%,Quebec,Non-Aboriginal,6140
2427035,Saint-Odilon-de-Cranbourne,73,46,99,88,77,35%,Quebec,Non-Aboriginal,1530
2427043,Saint-Joseph-de-Beauce,82,55,96,88,80,37%,Quebec,Non-Aboriginal,4480
2427055,Saint-Jules,84,49,97,91,80,40%,Quebec,Non-Aboriginal,575
2427060,Tring-Jonction,78,48,99,95,80,43%,Quebec,Non-Aboriginal,1420
2428005,Saint-Zacharie,75,41,97,82,74,16%,Quebec,Non-Aboriginal,1680
2428015,Sainte-Aurélie,75,40,96,82,73,33%,Quebec,Non-Aboriginal,960
2428020,Saint-Prosper,78,46,98,87,77,29%,Quebec,Non-Aboriginal,3490
2428025,Saint-Benjamin,79,47,96,85,77,34%,Quebec,Non-Aboriginal,890
2428030,Sainte-Rose-de-Watford,75,43,93,85,74,26%,Quebec,Non-Aboriginal,780
2428035,Saint-Louis-de-Gonzague,76,42,85,78,70,25%,Quebec,Non-Aboriginal,425
2428040,Saint-Cyprien,75,32,83,79,67,47%,Quebec,Non-Aboriginal,550
2428045,Sainte-Justine,82,48,97,89,79,37%,Quebec,Non-Aboriginal,1820
2428053,Lac-Etchemin,83,53,96,85,79,22%,Quebec,Non-Aboriginal,3715
2428060,Saint-Luc-de-Bellechasse,75,41,94,80,73,24%,Quebec,Non-Aboriginal,475
2428065,Sainte-Sabine,82,54,91,86,78,18%,Quebec,Non-Aboriginal,380
2428070,Saint-Camille-de-Lellis,76,37,97,80,72,20%,Quebec,Non-Aboriginal,815
2428075,Saint-Magloire,73,44,92,84,73,41%,Quebec,Non-Aboriginal,690
2429013,Saint-Gédéon-de-Beauce,77,40,97,86,75,32%,Quebec,Non-Aboriginal,2245
2429025,Saint-Évariste-de-Forsyth,77,39,96,85,74,28%,Quebec,Non-Aboriginal,520
2429030,La Guadeloupe,78,43,97,89,77,38%,Quebec,Non-Aboriginal,1730
2429038,Saint-Honoré-de-Shenley,74,46,92,92,76,29%,Quebec,Non-Aboriginal,1570
2429045,Saint-Martin,78,42,96,88,76,48%,Quebec,Non-Aboriginal,2455
2429050,Saint-René,78,44,86,86,73,43%,Quebec,Non-Aboriginal,655
2429057,Saint-Côme--Linière,77,44,96,85,76,38%,Quebec,Non-Aboriginal,3220
2429065,Saint-Philibert,78,55,92,89,78,31%,Quebec,Non-Aboriginal,370
2429073,Saint-Georges,83,54,97,87,80,23%,Quebec,Non-Aboriginal,30585
2429095,Lac-Poulin,,,,,85,46%,Quebec,Non-Aboriginal,120
2429100,Saint-Benoît-Labre,76,45,95,85,75,34%,Quebec,Non-Aboriginal,1550
2429112,Saint-Éphrem-de-Beauce,82,45,98,91,79,37%,Quebec,Non-Aboriginal,2525
2429120,Notre-Dame-des-Pins,80,50,99,89,79,44%,Quebec,Non-Aboriginal,1085
2429125,Saint-Simon-les-Mines,99,53,98,93,86,33%,Quebec,Non-Aboriginal,510
2430005,Saint-Augustin-de-Woburn,77,38,91,87,73,48%,Quebec,Non-Aboriginal,695
2430015,Val-Racine,,,,,70,25%,Quebec,Non-Aboriginal,170
2430020,Piopolis,,,,,81,47%,Quebec,Non-Aboriginal,365
2430025,Frontenac,83,50,96,89,80,21%,Quebec,Non-Aboriginal,1615
2430030,Lac-Mégantic,81,47,98,84,78,24%,Quebec,Non-Aboriginal,5590
2430035,Marston,85,59,95,91,83,34%,Quebec,Non-Aboriginal,700
2430040,Milan,,,,,73,29%,Quebec,Non-Aboriginal,250
2430045,Nantes,78,47,97,90,78,27%,Quebec,Non-Aboriginal,1380
2430050,Sainte-Cécile-de-Whitton,74,37,90,88,72,28%,Quebec,Non-Aboriginal,865
2430055,Audet,73,42,93,88,74,15%,Quebec,Non-Aboriginal,715
2430070,Saint-Robert-Bellarmin,69,26,99,82,69,42%,Quebec,Non-Aboriginal,640
2430072,Saint-Ludger,77,40,95,84,74,47%,Quebec,Non-Aboriginal,1160
2430080,Lac-Drolet,77,43,96,90,76,29%,Quebec,Non-Aboriginal,1080
2430085,Saint-Sébastien,80,41,97,89,77,19%,Quebec,Non-Aboriginal,680
2430090,Courcelles,77,43,91,91,76,37%,Quebec,Non-Aboriginal,970
2430095,Lambton,78,47,94,86,76,34%,Quebec,Non-Aboriginal,1520
2430100,Saint-Romain,75,44,96,80,74,20%,Quebec,Non-Aboriginal,665
2430105,Stornoway,73,44,97,87,75,27%,Quebec,Non-Aboriginal,550
2430110,Stratford,81,52,98,81,78,46%,Quebec,Non-Aboriginal,1080
2431008,Beaulac-Garthby,81,53,96,76,76,40%,Quebec,Non-Aboriginal,875
2431015,Disraeli,74,46,93,83,74,39%,Quebec,Non-Aboriginal,2425
2431025,Saint-Jacques-le-Majeur-de-Wolfestown,,,,,77,38%,Quebec,Non-Aboriginal,190
2431030,Saint-Fortunat,71,42,89,83,71,28%,Quebec,Non-Aboriginal,280
2431035,Saint-Julien,76,46,94,83,75,38%,Quebec,Non-Aboriginal,405
2431040,Irlande,78,58,90,82,77,37%,Quebec,Non-Aboriginal,890
2431045,Saint-Joseph-de-Coleraine,81,53,96,78,77,48%,Quebec,Non-Aboriginal,1920
2431056,Adstock,83,50,96,88,79,48%,Quebec,Non-Aboriginal,2585
2431060,Sainte-Clotilde-de-Beauce,,,,,74,39%,Quebec,Non-Aboriginal,635
2431084,Thetford Mines,82,53,96,84,79,19%,Quebec,Non-Aboriginal,24450
2431095,Saint-Adrien-d'Irlande,81,58,97,90,81,29%,Quebec,Non-Aboriginal,390
2431105,Kinnear's Mills,80,56,87,94,79,49%,Quebec,Non-Aboriginal,370
2431122,East Broughton,78,47,96,94,79,44%,Quebec,Non-Aboriginal,2160
2431130,Sacré-Coeur-de-Jésus,77,62,95,96,83,34%,Quebec,Non-Aboriginal,575
2431135,Saint-Pierre-de-Broughton,75,50,82,85,73,40%,Quebec,Non-Aboriginal,925
2431140,Saint-Jacques-de-Leeds,79,49,97,90,79,30%,Quebec,Non-Aboriginal,700
2432013,Saint-Ferdinand,83,53,97,80,78,32%,Quebec,Non-Aboriginal,1985
2432023,Sainte-Sophie-d'Halifax,82,53,94,96,81,40%,Quebec,Non-Aboriginal,665
2432033,Princeville,77,48,95,84,76,31%,Quebec,Non-Aboriginal,5585
2432040,Plessisville,80,47,97,87,78,17%,Quebec,Non-Aboriginal,6345
2432045,Plessisville,80,55,95,91,80,36%,Quebec,Non-Aboriginal,2650
2432050,Saint-Pierre-Baptiste,,,,,81,45%,Quebec,Non-Aboriginal,475
2432058,Inverness,77,56,97,90,80,41%,Quebec,Non-Aboriginal,815
2432065,Lyster,79,56,91,88,78,30%,Quebec,Non-Aboriginal,1575
2432072,Laurierville,77,47,96,90,77,35%,Quebec,Non-Aboriginal,1425
2433007,Saint-Sylvestre,77,53,95,86,78,42%,Quebec,Non-Aboriginal,995
2433017,Sainte-Agathe-de-Lotbinière,76,49,97,94,79,32%,Quebec,Non-Aboriginal,1095
2433025,Saint-Patrice-de-Beaurivage,80,56,93,96,81,39%,Quebec,Non-Aboriginal,1070
2433030,Saint-Narcisse-de-Beaurivage,72,58,96,88,78,27%,Quebec,Non-Aboriginal,1085
2433035,Saint-Gilles,84,50,96,91,80,48%,Quebec,Non-Aboriginal,2050
2433040,Dosquet,80,39,97,90,76,32%,Quebec,Non-Aboriginal,890
2433045,Saint-Agapit,83,54,92,91,80,46%,Quebec,Non-Aboriginal,3470
2433052,Saint-Flavien,76,47,93,93,77,22%,Quebec,Non-Aboriginal,1480
2433060,Laurier-Station,76,50,98,91,79,11%,Quebec,Non-Aboriginal,2575
2433065,Saint-Janvier-de-Joly,78,49,84,83,73,32%,Quebec,Non-Aboriginal,960
2433070,Val-Alain,79,45,89,84,74,39%,Quebec,Non-Aboriginal,955
2433080,Saint-Édouard-de-Lotbinière,75,49,94,83,75,29%,Quebec,Non-Aboriginal,1215
2433085,Notre-Dame-du-Sacré-Coeur-d'Issoudun,80,51,96,91,79,31%,Quebec,Non-Aboriginal,915
2433090,Saint-Apollinaire,86,57,95,90,82,20%,Quebec,Non-Aboriginal,5035
2433095,Saint-Antoine-de-Tilly,100,72,95,86,88,36%,Quebec,Non-Aboriginal,1595
2433102,Sainte-Croix,83,58,97,89,82,39%,Quebec,Non-Aboriginal,2230
2433115,Lotbinière,86,62,92,84,81,24%,Quebec,Non-Aboriginal,845
2433123,Leclercville,74,40,92,90,74,30%,Quebec,Non-Aboriginal,475
2434007,Neuville,90,68,97,87,85,28%,Quebec,Non-Aboriginal,3885
2434017,Pont-Rouge,87,63,96,90,84,39%,Quebec,Non-Aboriginal,8595
2434025,Donnacona,83,58,97,84,80,31%,Quebec,Non-Aboriginal,5850
2434030,Cap-Santé,88,61,98,88,84,38%,Quebec,Non-Aboriginal,2905
2434038,Saint-Basile,86,54,98,89,82,43%,Quebec,Non-Aboriginal,2435
2434048,Portneuf,81,53,95,84,78,38%,Quebec,Non-Aboriginal,3090
2434058,Deschambault-Grondines,85,59,97,84,81,49%,Quebec,Non-Aboriginal,2105
2434060,Saint-Gilbert,,,,,82,35%,Quebec,Non-Aboriginal,290
2434065,Saint-Marc-des-Carrières,77,46,96,84,76,34%,Quebec,Non-Aboriginal,2805
2434078,Saint-Casimir,83,51,89,88,78,48%,Quebec,Non-Aboriginal,1345
2434085,Saint-Thuribe,84,52,98,90,81,46%,Quebec,Non-Aboriginal,290
2434097,Saint-Alban,76,46,93,80,74,46%,Quebec,Non-Aboriginal,1200
2434105,Sainte-Christine-d'Auvergne,,,,,77,41%,Quebec,Non-Aboriginal,445
2434115,Saint-Léonard-de-Portneuf,81,52,96,84,78,33%,Quebec,Non-Aboriginal,1005
2434128,Saint-Raymond,83,53,95,88,80,46%,Quebec,Non-Aboriginal,9310
2434135,Rivière-à-Pierre,82,37,93,69,70,31%,Quebec,Non-Aboriginal,665
2435005,Notre-Dame-de-Montauban,72,34,98,75,70,45%,Quebec,Non-Aboriginal,770
2435015,Saint-Adelphe,77,50,93,74,73,44%,Quebec,Non-Aboriginal,940
2435020,Saint-Séverin,81,55,97,81,78,29%,Quebec,Non-Aboriginal,845
2435027,Saint-Tite,79,51,95,82,77,28%,Quebec,Non-Aboriginal,3745
2435035,Hérouxville,80,48,98,81,77,45%,Quebec,Non-Aboriginal,1480
2435055,Trois-Rives,,,,,74,47%,Quebec,Non-Aboriginal,485
2436033,Shawinigan,82,54,96,80,78,26%,Quebec,Non-Aboriginal,48035
2437067,Trois-Rivières,85,60,96,84,81,19%,Quebec,Non-Aboriginal,126980
2437205,Sainte-Anne-de-la-Pérade,82,52,90,84,77,45%,Quebec,Non-Aboriginal,1965
2437210,Batiscan,88,58,92,85,81,33%,Quebec,Non-Aboriginal,930
2437215,Sainte-Geneviève-de-Batiscan,82,49,95,81,77,34%,Quebec,Non-Aboriginal,1050
2437220,Champlain,81,56,94,87,80,43%,Quebec,Non-Aboriginal,1695
2437225,Saint-Luc-de-Vincennes,86,55,98,86,81,37%,Quebec,Non-Aboriginal,580
2437230,Saint-Maurice,80,59,95,84,80,33%,Quebec,Non-Aboriginal,2750
2437235,Notre-Dame-du-Mont-Carmel,83,58,96,86,81,31%,Quebec,Non-Aboriginal,5345
2437240,Saint-Narcisse,80,57,93,85,79,28%,Quebec,Non-Aboriginal,1705
2437245,Saint-Stanislas,79,50,98,83,78,21%,Quebec,Non-Aboriginal,1020
2437250,Saint-Prosper-de-Champlain,86,57,94,82,80,32%,Quebec,Non-Aboriginal,500
2438005,Saint-Sylvère,73,51,93,82,75,42%,Quebec,Non-Aboriginal,865
2438010,Bécancour,89,60,95,86,83,21%,Quebec,Non-Aboriginal,12010
2438020,Lemieux,65,34,93,82,69,42%,Quebec,Non-Aboriginal,305
2438028,Manseau,79,46,94,78,74,48%,Quebec,Non-Aboriginal,825
2438047,Fortierville,72,51,96,83,76,38%,Quebec,Non-Aboriginal,650
2438055,Parisville,76,61,94,85,79,45%,Quebec,Non-Aboriginal,525
2438060,Sainte-Cécile-de-Lévrard,71,42,87,89,72,46%,Quebec,Non-Aboriginal,315
2438065,Saint-Pierre-les-Becquets,86,55,96,83,80,46%,Quebec,Non-Aboriginal,1190
2438070,Deschaillons-sur-Saint-Laurent,78,49,98,83,77,42%,Quebec,Non-Aboriginal,965
2438802,Wôlinak,,,,,75,10%,Quebec,First Nation,180
2439005,Saints-Martyrs-Canadiens,,,,,78,34%,Quebec,Non-Aboriginal,125
2439010,Ham-Nord,,,,,81,44%,Quebec,Non-Aboriginal,795
2439020,Saint-Rémi-de-Tingwick,84,52,91,93,80,38%,Quebec,Non-Aboriginal,470
2439025,Tingwick,83,58,97,83,80,47%,Quebec,Non-Aboriginal,1425
2439030,Chesterville,84,50,95,87,79,49%,Quebec,Non-Aboriginal,890
2439035,Sainte-Hélène-de-Chester,85,52,93,96,81,34%,Quebec,Non-Aboriginal,360
2439043,Saint-Norbert-d'Arthabaska,81,43,93,94,78,31%,Quebec,Non-Aboriginal,1230
2439060,Saint-Christophe-d'Arthabaska,84,54,98,90,82,29%,Quebec,Non-Aboriginal,2860
2439062,Victoriaville,83,55,97,86,80,20%,Quebec,Non-Aboriginal,41855
2439077,Warwick,81,50,96,89,79,15%,Quebec,Non-Aboriginal,4565
2439085,Saint-Albert,77,49,96,84,77,36%,Quebec,Non-Aboriginal,1635
2439097,Kingsey Falls,92,64,98,89,86,14%,Quebec,Non-Aboriginal,1960
2439105,Sainte-Séraphine,,,,,80,43%,Quebec,Non-Aboriginal,380
2439117,Sainte-Clotilde-de-Horton,79,49,92,83,76,45%,Quebec,Non-Aboriginal,1610
2439130,Saint-Samuel,75,51,95,90,78,26%,Quebec,Non-Aboriginal,740
2439135,Saint-Valère,80,55,94,90,80,37%,Quebec,Non-Aboriginal,1285
2439145,Saint-Rosaire,76,45,96,82,75,41%,Quebec,Non-Aboriginal,735
2439165,Maddington,,,,,77,37%,Quebec,Non-Aboriginal,445
2439170,Saint-Louis-de-Blandford,79,38,91,90,74,49%,Quebec,Non-Aboriginal,900
2440005,Saint-Joseph-de-Ham-Sud,,,,,70,41%,Quebec,Non-Aboriginal,200
2440010,Saint-Adrien,70,57,87,92,77,48%,Quebec,Non-Aboriginal,490
2440017,Wotton,78,46,94,86,76,42%,Quebec,Non-Aboriginal,1375
2440025,Saint-Camille,74,59,90,92,79,37%,Quebec,Non-Aboriginal,510
2440043,Asbestos,77,47,95,77,74,23%,Quebec,Non-Aboriginal,6640
2440047,Danville,80,50,93,82,76,26%,Quebec,Non-Aboriginal,3950
2441012,Saint-Isidore-de-Clifton,72,46,96,84,74,40%,Quebec,Non-Aboriginal,715
2441020,Chartierville,83,55,96,87,80,27%,Quebec,Non-Aboriginal,305
2441027,La Patrie,69,52,98,83,76,33%,Quebec,Non-Aboriginal,745
2441037,Newport,76,47,88,80,73,37%,Quebec,Non-Aboriginal,715
2441038,Cookshire-Eaton,79,51,95,88,78,23%,Quebec,Non-Aboriginal,5120
2441055,Ascot Corner,82,55,97,88,81,28%,Quebec,Non-Aboriginal,2850
2441060,East Angus,77,46,93,86,75,22%,Quebec,Non-Aboriginal,3575
2441065,Westbury,86,50,94,90,80,46%,Quebec,Non-Aboriginal,995
2441070,Bury,76,61,93,85,78,49%,Quebec,Non-Aboriginal,1165
2441080,Scotstown,78,43,97,84,76,48%,Quebec,Non-Aboriginal,540
2441085,Lingwick,74,34,89,75,68,28%,Quebec,Non-Aboriginal,395
2441098,Weedon,75,42,95,80,73,41%,Quebec,Non-Aboriginal,2595
2441117,Dudswell,85,52,95,88,80,45%,Quebec,Non-Aboriginal,1735
2442005,Stoke,84,60,96,89,82,26%,Quebec,Non-Aboriginal,2805
2442020,Saint-François-Xavier-de-Brompton,80,55,94,86,79,42%,Quebec,Non-Aboriginal,2100
2442025,Saint-Denis-de-Brompton,92,67,97,90,86,26%,Quebec,Non-Aboriginal,3365
2442032,Racine,87,59,96,85,82,32%,Quebec,Non-Aboriginal,1245
2442040,Bonsecours,90,55,89,90,81,36%,Quebec,Non-Aboriginal,575
2442045,Lawrenceville,74,51,97,81,75,41%,Quebec,Non-Aboriginal,650
2442050,Sainte-Anne-de-la-Rochelle,84,56,96,92,82,15%,Quebec,Non-Aboriginal,625
2442055,Valcourt,82,52,98,86,79,30%,Quebec,Non-Aboriginal,2260
2442060,Valcourt,85,58,94,87,81,34%,Quebec,Non-Aboriginal,1050
2442065,Maricourt,81,40,94,87,75,47%,Quebec,Non-Aboriginal,500
2442070,Kingsbury,,,,,75,24%,Quebec,Non-Aboriginal,125
2442075,Melbourne,81,59,91,89,80,43%,Quebec,Non-Aboriginal,1005
2442088,Windsor,80,53,95,84,78,13%,Quebec,Non-Aboriginal,5185
2442095,Val-Joli,81,52,91,86,78,27%,Quebec,Non-Aboriginal,1505
2442098,Richmond,79,51,95,88,78,32%,Quebec,Non-Aboriginal,3155
2442100,Saint-Claude,82,52,94,85,78,33%,Quebec,Non-Aboriginal,1105
2442110,Cleveland,79,52,98,82,78,43%,Quebec,Non-Aboriginal,1445
2443027,Sherbrooke,84,63,96,85,82,17%,Quebec,Non-Aboriginal,150255
2444003,Saint-Malo,77,47,98,87,77,48%,Quebec,Non-Aboriginal,485
2444010,East Hereford,,,,,76,41%,Quebec,Non-Aboriginal,305
2444023,Dixville,72,51,93,93,77,46%,Quebec,Non-Aboriginal,695
2444037,Coaticook,79,49,95,88,78,17%,Quebec,Non-Aboriginal,9135
2444045,Barnston-Ouest,85,57,92,91,82,49%,Quebec,Non-Aboriginal,515
2444055,Sainte-Edwidge-de-Clifton,69,42,97,91,75,37%,Quebec,Non-Aboriginal,485
2444060,Martinville,76,52,93,88,77,42%,Quebec,Non-Aboriginal,485
2444071,Compton,76,53,95,89,78,29%,Quebec,Non-Aboriginal,3070
2444080,Waterville,79,58,96,88,80,34%,Quebec,Non-Aboriginal,2040
2445008,Stanstead,74,46,90,82,73,24%,Quebec,Non-Aboriginal,2715
2445030,Potton,86,54,94,85,80,45%,Quebec,Non-Aboriginal,1840
2445035,Ayer's Cliff,89,57,95,87,82,42%,Quebec,Non-Aboriginal,1055
2445043,Hatley,89,67,85,86,82,42%,Quebec,Non-Aboriginal,830
2445050,North Hatley,100,69,93,81,86,37%,Quebec,Non-Aboriginal,605
